r,g,b,color
179,0,102,pink
0,5,213,blue
186,0,143,pink
145,0,118,purple
158,22,0,red
0,151,15,green
15,0,119,blue
0,81,235,blue
178,0,199,purple
77,0,167,purple
246,214,0,yellow
247,0,144,pink
173,0,134,purple
34,0,129,blue
64,47,0,brown
70,0,195,blue
212,0,71,pink
78,0,86,purple
242,208,0,yellow
101,0,178,purple
250,77,0,orange
51,0,105,purple
91,0,139,purple
86,0,125,purple
0,67,164,blue
178,116,0,orange
0,23,149,blue
229,248,0,yellow
179,214,0,yellow
33,121,0,green
203,161,0,yellow
54,0,249,blue
0,43,114,blue
109,0,198,purple
0,68,242,blue
113,2,0,red
0,54,254,blue
0,46,115,blue
0,67,231,blue
13,0,176,blue
247,115,0,orange
47,98,0,green
20,81,0,green
0,11,124,blue
0,103,14,green
96,199,0,green
227,92,0,orange
0,133,198,blue
161,0,18,red
181,0,95,pink
0,131,34,green
18,189,0,green
236,126,0,orange
222,181,0,yellow
64,231,0,green
244,0,37,red
126,111,0,brown
34,0,71,purple
99,0,199,purple
112,158,0,green
61,196,0,green
185,94,0,orange
0,51,251,blue
86,70,0,brown
168,0,97,pink
0,180,204,blue
39,0,63,purple
0,93,152,blue
30,18,0,brown
151,0,8,red
114,48,0,brown
0,118,55,green
0,193,72,green
72,45,0,brown
29,111,0,green
94,126,0,green
231,0,127,pink
225,251,0,yellow
54,9,0,brown
0,216,56,green
74,0,72,purple
198,0,210,purple
226,0,240,pink
0,180,80,green
34,216,0,green
30,0,138,blue
127,0,237,purple
179,192,0,yellow
105,157,0,green
188,0,9,red
30,20,0,brown
0,60,160,blue
0,234,146,green
195,160,0,yellow
169,0,201,purple
191,0,27,red
91,0,254,blue
106,0,119,purple
26,8,0,brown
173,0,251,purple
131,0,114,purple
217,186,0,yellow
229,117,0,orange
31,0,3,brown
0,53,116,blue
0,86,186,blue
89,255,0,green
0,63,163,blue
0,125,69,green
0,113,235,blue
84,68,0,brown
196,241,0,yellow
131,177,0,green
0,140,239,blue
66,139,0,green
235,0,28,red
6,0,143,blue
0,78,217,blue
156,63,0,brown
39,0,167,blue
200,0,133,pink
0,71,246,blue
45,0,221,blue
232,71,0,orange
251,0,26,red
45,0,167,blue
98,85,0,brown
17,0,162,blue
0,79,224,blue
68,56,0,brown
6,0,206,blue
0,58,152,blue
84,30,0,brown
