r,g,b,color
33,0,72,purple
0,129,16,green
0,65,221,blue
0,93,229,blue
202,115,0,orange
196,0,142,pink
238,0,88,pink
25,0,165,blue
180,220,0,yellow
246,0,75,pink
154,177,0,green
66,0,113,purple
212,0,190,pink
206,0,118,pink
162,0,227,purple
239,49,0,red
38,19,0,brown
69,224,0,green
21,159,0,green
0,5,140,blue
59,0,201,blue
156,0,49,red
65,0,172,blue
246,0,199,pink
84,21,0,brown
4,166,0,green
233,0,30,red
0,160,232,blue
185,52,0,orange
0,156,181,blue
233,138,0,orange
244,248,0,yellow
65,15,0,brown
0,2,10,black
97,74,0,brown
12,0,99,blue
0,146,213,blue
162,120,0,brown
186,0,69,pink
44,123,0,green
0,214,127,green
148,0,140,purple
0,219,51,green
156,231,0,green
255,0,237,pink
0,132,236,blue
46,0,235,blue
2,184,0,green
187,0,101,pink
135,0,72,purple
253,0,13,red
69,0,248,blue
72,0,51,purple
146,105,0,brown
186,0,193,purple
0,90,166,blue
0,5,143,blue
134,180,0,green
75,170,0,green
0,128,28,green
0,97,57,green
0,234,126,green
0,217,73,green
77,0,194,purple
31,244,0,green
251,0,208,pink
222,0,227,pink
41,215,0,green
0,30,234,blue
48,0,145,blue
0,221,96,green
237,0,83,pink
211,0,41,red
35,138,0,green
244,0,9,red
80,0,248,blue
84,0,138,purple
175,90,0,orange
37,0,154,blue
0,128,25,green
0,74,216,blue
0,100,119,blue
0,198,2,green
184,0,211,purple
0,100,172,blue
0,124,198,blue
91,0,132,purple
34,0,139,blue
13,117,0,green
81,199,0,green
0,168,254,blue
89,0,88,purple
0,149,72,green
0,180,64,green
0,108,75,green
230,0,100,pink
0,40,48,blue
182,0,254,purple
195,0,84,pink
14,0,215,blue
1,123,0,green
139,0,113,purple
157,36,0,red
4,0,135,blue
25,232,0,green
191,0,230,purple
129,0,19,red
235,157,0,orange
169,0,210,purple
240,0,129,pink
21,118,0,green
21,69,0,green
243,204,0,yellow
0,14,139,blue
0,85,157,blue
0,143,50,green
198,18,0,red
243,0,94,pink
124,0,205,purple
152,104,0,brown
87,241,0,green
253,29,0,red
28,206,0,green
20,0,116,blue
131,72,0,brown
205,0,177,pink
0,190,112,green
139,0,232,purple
134,243,0,green
248,0,55,red
202,38,0,red
229,75,0,orange
123,205,0,green
232,0,153,pink
198,227,0,yellow
109,0,237,purple
248,119,0,orange
89,28,0,brown
167,0,50,red
128,208,0,green
205,0,23,red
103,81,0,brown
127,44,0,brown
0,155,48,green
58,0,174,blue
75,0,179,purple
26,98,0,green
0,165,171,blue
36,63,0,green
237,212,0,yellow
0,250,86,green
0,78,100,blue
31,124,0,green
132,54,0,brown
86,191,0,green
0,121,86,green
0,202,134,green
203,0,17,red
34,0,0,brown
0,240,70,green
196,0,184,purple
0,230,143,green
0,206,117,green
191,0,133,pink
207,187,0,yellow
44,148,0,green
158,0,105,purple
5,0,255,blue
0,139,201,blue
172,47,0,red
95,0,211,purple
0,104,138,blue
115,0,3,red
97,0,250,blue
0,102,198,blue
108,0,171,purple
6,120,0,green
0,44,185,blue
0,224,127,green
105,240,0,green
0,41,100,blue
97,19,0,brown
248,0,68,pink
0,219,126,green
0,86,119,blue
243,0,121,pink
220,131,0,orange
206,0,37,red
181,73,0,orange
0,81,113,blue
224,147,0,orange
111,0,247,purple
124,243,0,green
0,163,84,green
40,12,0,brown
113,0,127,purple
197,0,3,red
0,148,100,green
133,0,236,purple
47,139,0,green
244,0,168,pink
163,0,29,red
0,40,124,blue
231,35,0,red
207,234,0,yellow
187,236,0,yellow
155,0,252,purple
0,158,76,green
129,0,197,purple
0,135,10,green
168,92,0,brown
0,45,209,blue
0,143,20,green
47,0,242,blue
42,0,122,blue
0,57,147,blue
0,22,206,blue
124,235,0,green
123,0,253,purple
217,0,1,red
6,0,133,blue
149,0,175,purple
240,65,0,orange
0,137,219,blue
0,127,72,green
180,107,0,orange
10,0,163,blue
0,9,19,black
240,0,44,red
0,240,99,green
28,126,0,green
12,81,0,green
80,0,203,blue
0,194,6,green
249,53,0,orange
0,184,9,green
37,236,0,green
230,0,11,red
0,158,18,green
158,0,144,purple
26,0,253,blue
0,88,207,blue
119,0,113,purple
228,0,224,pink
175,255,0,yellow
232,249,0,yellow
220,243,0,yellow
149,0,34,red
137,8,0,red
232,237,0,yellow
241,0,62,red
0,226,21,green
75,0,82,purple
116,231,0,green
169,0,42,red
0,214,80,green
248,0,206,pink
230,0,169,pink
0,112,75,green
98,199,0,green
217,135,0,orange
128,0,68,purple
160,0,133,purple
186,0,70,pink
154,228,0,green
0,72,6,green
135,0,15,red
147,104,0,brown
79,0,94,purple
0,87,210,blue
0,97,75,green
219,0,71,pink
8,1,0,black
125,0,179,purple
194,171,0,yellow
0,155,185,blue
0,212,55,green
231,206,0,yellow
238,95,0,orange
0,48,120,blue
3,0,119,blue
5,8,0,black
80,65,0,brown
205,0,0,red
83,174,0,green
0,199,34,green
1,226,0,green
40,0,46,purple
44,0,167,blue
227,150,0,orange
4,0,12,black
0,176,54,green
212,13,0,red
0,140,182,blue
0,166,197,blue
147,0,237,purple
226,0,227,pink
59,144,0,green
14,115,0,green
132,27,0,red
169,0,229,purple
69,117,0,green
13,150,0,green
185,0,116,pink
192,181,0,yellow
179,0,211,purple
57,0,132,purple
43,0,162,blue
0,97,16,green
61,145,0,green
129,155,0,green
147,105,0,brown
18,254,0,green
137,171,0,green
191,165,0,yellow
77,50,0,brown
230,181,0,yellow
142,0,111,purple
125,53,0,brown
119,11,0,red
111,160,0,green
196,0,90,pink
0,112,145,blue
42,0,234,blue
0,41,154,blue
208,62,0,orange
0,57,232,blue
94,150,0,green
105,215,0,green
0,232,116,green
0,26,150,blue
186,0,220,purple
230,32,0,red
181,251,0,yellow
212,0,157,pink
77,0,42,purple
31,0,250,blue
232,121,0,orange
157,0,111,purple
0,51,113,blue
108,0,2,red
93,208,0,green
129,0,116,purple
209,0,138,pink
14,0,159,blue
2,164,0,green
20,191,0,green
0,22,169,blue
0,112,175,blue
0,46,126,blue
109,0,201,purple
253,169,0,orange
0,86,203,blue
0,35,125,blue
166,174,0,green
173,164,0,yellow
10,0,127,blue
134,0,24,red
0,86,154,blue
102,85,0,brown
246,0,251,pink
75,36,0,brown
157,80,0,brown
141,234,0,green
78,120,0,green
216,119,0,orange
57,0,171,blue
0,173,216,blue
140,0,40,red
105,252,0,green
172,7,0,red
0,43,170,blue
246,6,0,red
34,0,62,purple
231,243,0,yellow
171,0,106,pink
237,0,197,pink
134,0,95,purple
50,244,0,green
0,113,206,blue
0,105,6,green
0,118,175,blue
0,95,189,blue
8,0,23,black
107,75,0,brown
72,0,191,blue
0,45,150,blue
54,0,135,purple
0,235,154,green
33,230,0,green
179,107,0,orange
225,7,0,red
149,195,0,green
81,0,245,blue
134,0,232,purple
0,45,182,blue
37,0,157,blue
0,7,152,blue
107,39,0,brown
0,82,202,blue
0,197,105,green
171,0,72,pink
0,18,232,blue
234,239,0,yellow
0,135,91,green
130,53,0,brown
99,0,130,purple
193,0,250,purple
192,90,0,orange
147,0,36,red
100,155,0,green
135,224,0,green
124,0,200,purple
102,227,0,green
111,255,0,green
34,0,52,purple
142,0,157,purple
66,0,133,purple
6,94,0,green
100,0,92,purple
141,189,0,green
217,0,240,pink
0,197,86,green
31,84,0,green
0,90,55,green
243,73,0,orange
247,0,161,pink
55,155,0,green
202,0,3,red
0,25,230,blue
0,33,97,blue
91,214,0,green
0,102,233,blue
116,0,136,purple
91,220,0,green
172,0,245,purple
68,193,0,green
103,248,0,green
0,15,133,blue
240,0,152,pink
125,16,0,red
216,16,0,red
68,0,133,purple
35,155,0,green
240,116,0,orange
91,0,87,purple
78,131,0,green
144,88,0,brown
222,0,50,red
146,237,0,green
165,0,56,red
133,0,118,purple
214,0,128,pink
126,0,101,purple
0,153,197,blue
165,172,0,green
115,0,183,purple
105,78,0,brown
37,61,0,green
77,62,0,brown
237,0,155,pink
134,68,0,brown
19,152,0,green
192,123,0,orange
0,181,13,green
64,138,0,green
0,83,21,green
167,0,212,purple
5,0,118,blue
167,0,205,purple
36,231,0,green
91,0,179,purple
0,45,125,blue
219,0,26,red
110,22,0,brown
29,0,1,brown
173,0,194,purple
105,7,0,red
82,133,0,green
6,0,173,blue
0,48,141,blue
0,239,128,green
100,0,220,purple
3,0,124,blue
26,0,231,blue
163,219,0,green
218,240,0,yellow
0,145,209,blue
128,176,0,green
220,0,50,red
0,176,110,green
0,160,49,green
93,0,66,purple
181,0,75,pink
0,83,116,blue
138,0,227,purple
248,199,0,yellow
0,194,86,green
187,0,192,purple
223,92,0,orange
0,220,18,green
0,78,158,blue
52,215,0,green
0,128,225,blue
226,10,0,red
63,109,0,green
232,0,179,pink
177,218,0,yellow
106,0,7,red
70,238,0,green
0,94,251,blue
142,0,124,purple
205,67,0,orange
204,0,182,pink
20,194,0,green
0,92,238,blue
227,0,59,red
0,224,35,green
237,158,0,orange
12,0,210,blue
58,71,0,green
167,0,185,purple
62,201,0,green
71,109,0,green
205,161,0,yellow
0,129,70,green
24,0,252,blue
0,89,180,blue
125,0,21,red
236,0,155,pink
0,110,237,blue
43,169,0,green
0,117,230,blue
25,160,0,green
214,0,88,pink
112,0,60,purple
173,0,236,purple
22,65,0,green
245,22,0,red
0,92,35,green
0,132,69,green
53,162,0,green
0,240,114,green
211,0,217,pink
0,240,110,green
143,181,0,green
0,44,51,blue
113,0,172,purple
202,0,178,pink
99,0,77,purple
17,0,100,blue
218,0,104,pink
92,79,0,brown
250,0,52,red
0,116,57,green
221,128,0,orange
58,0,137,purple
122,0,206,purple
10,140,0,green
97,0,60,purple
86,75,0,brown
180,0,90,pink
184,0,236,purple
0,106,154,blue
79,0,43,purple
0,25,156,blue
0,142,95,green
90,0,251,blue
76,0,216,blue
50,0,187,blue
17,0,112,blue
110,71,0,brown
41,0,149,blue
99,0,101,purple
165,0,229,purple
0,234,58,green
227,66,0,orange
49,0,176,blue
21,0,2,black
149,9,0,red
49,133,0,green
0,60,99,blue
92,221,0,green
32,25,0,brown
0,158,243,blue
147,121,0,brown
182,101,0,orange
0,91,20,green
118,0,208,purple
0,169,18,green
155,0,183,purple
187,0,130,pink
0,123,57,green
164,0,12,red
128,0,34,red
0,44,180,blue
0,93,30,green
108,163,0,green
0,124,184,blue
202,171,0,yellow
0,219,26,green
144,174,0,green
104,0,130,purple
106,86,0,brown
0,67,134,blue
15,0,237,blue
0,71,35,green
0,93,52,green
0,245,135,green
174,51,0,orange
106,0,19,red
137,99,0,brown
0,50,62,blue
65,0,162,purple
0,134,150,blue
0,8,93,blue
185,35,0,red
209,0,155,pink
0,160,255,blue
255,160,0,orange
0,58,220,blue
212,0,56,red
66,0,92,purple
255,5,0,red
52,0,215,blue
75,0,161,purple
18,217,0,green
70,0,101,purple
0,100,156,blue
71,219,0,green
0,138,255,blue
209,57,0,orange
114,193,0,green
163,0,109,purple
100,0,209,purple
6,0,11,black
254,0,234,pink
94,61,0,brown
172,0,161,purple
0,109,72,green
29,243,0,green
247,0,90,pink
212,0,149,pink
0,23,206,blue
0,135,186,blue
117,0,220,purple
180,0,235,purple
0,128,45,green
29,250,0,green
223,0,4,red
0,86,237,blue
0,50,109,blue
167,0,166,purple
246,27,0,red
0,170,13,green
0,241,0,green
214,0,152,pink
160,202,0,green
0,109,36,green
249,0,9,red
134,29,0,red
31,0,124,blue
151,50,0,brown
180,253,0,yellow
214,218,0,yellow
234,0,242,pink
224,0,10,red
191,0,190,purple
173,118,0,brown
138,0,170,purple
228,246,0,yellow
0,195,20,green
0,196,76,green
156,113,0,brown
132,236,0,green
143,0,243,purple
37,29,0,brown
0,27,118,blue
84,58,0,brown
0,248,119,green
0,166,193,blue
133,0,221,purple
229,0,134,pink
121,75,0,brown
0,181,234,blue
0,65,21,green
0,43,253,blue
102,0,251,purple
0,74,51,green
0,137,156,blue
151,0,151,purple
71,106,0,green
0,78,229,blue
191,96,0,orange
113,0,135,purple
109,142,0,green
138,142,0,green
194,68,0,orange
18,164,0,green
23,170,0,green
8,144,0,green
0,115,197,blue
0,28,238,blue
189,66,0,orange
213,165,0,yellow
49,0,196,blue
8,0,175,blue
117,0,204,purple
236,0,102,pink
219,0,154,pink
249,0,238,pink
225,0,178,pink
0,120,0,green
215,60,0,orange
155,0,107,purple
59,40,0,brown
0,4,94,blue
148,18,0,red
194,0,0,red
49,0,107,purple
205,0,225,purple
108,188,0,green
65,59,0,brown
141,0,239,purple
5,94,0,green
117,0,170,purple
217,46,0,red
32,103,0,green
198,0,191,purple
51,0,79,purple
181,0,109,pink
0,192,29,green
15,0,76,blue
0,30,155,blue
205,244,0,yellow
101,0,109,purple
132,173,0,green
199,210,0,yellow
82,0,251,blue
157,126,0,brown
39,0,42,purple
52,0,111,purple
218,204,0,yellow
76,216,0,green
83,202,0,green
253,0,95,pink
135,0,130,purple
197,26,0,red
199,0,222,purple
232,186,0,yellow
48,83,0,green
0,17,168,blue
145,80,0,brown
0,89,153,blue
4,81,0,green
0,19,79,blue
12,0,82,blue
0,60,208,blue
0,109,175,blue
5,63,0,green
127,103,0,brown
0,96,116,blue
254,0,45,red
0,119,243,blue
0,139,51,green
197,206,0,yellow
0,93,169,blue
0,123,218,blue
252,0,223,pink
0,4,168,blue
230,0,5,red
188,0,226,purple
216,0,63,red
126,210,0,green
0,131,92,green
46,0,89,purple
37,202,0,green
241,0,43,red
172,0,196,purple
31,156,0,green
149,55,0,brown
0,99,198,blue
133,241,0,green
2,113,0,green
253,0,210,pink
246,0,112,pink
138,0,208,purple
0,45,223,blue
152,0,3,red
115,0,121,purple
148,0,240,purple
85,0,168,purple
0,56,125,blue
0,123,158,blue
113,165,0,green
46,0,48,purple
0,118,165,blue
0,85,160,blue
0,215,26,green
237,0,76,pink
249,0,139,pink
0,198,124,green
133,174,0,green
191,109,0,orange
0,99,43,green
18,0,86,blue
122,0,85,purple
0,165,241,blue
194,107,0,orange
136,89,0,brown
190,9,0,red
0,108,80,green
142,0,3,red
128,0,108,purple
61,111,0,green
248,0,97,pink
71,234,0,green
0,95,232,blue
244,0,160,pink
244,0,185,pink
98,0,135,purple
22,0,134,blue
0,165,202,blue
0,172,49,green
33,0,170,blue
0,189,76,green
136,0,31,red
98,221,0,green
0,246,157,green
0,213,51,green
0,55,198,blue
100,0,171,purple
20,196,0,green
255,191,0,yellow
0,134,166,blue
109,135,0,green
0,41,235,blue
0,72,53,green
189,0,190,purple
233,255,0,yellow
214,191,0,yellow
99,215,0,green
220,35,0,red
215,70,0,orange
44,0,239,blue
155,192,0,green
223,115,0,orange
185,190,0,yellow
98,174,0,green
0,134,85,green
231,0,250,pink
216,0,223,pink
44,0,69,purple
0,29,111,blue
54,0,232,blue
190,0,142,pink
204,122,0,orange
155,0,233,purple
9,180,0,green
175,96,0,orange
189,0,37,red
163,0,199,purple
135,0,20,red
60,0,92,purple
250,97,0,orange
116,0,125,purple
0,109,199,blue
31,0,42,purple
169,26,0,red
19,20,0,black
111,5,0,red
129,230,0,green
38,0,124,blue
52,0,191,blue
154,195,0,green
222,0,110,pink
0,155,22,green
58,0,155,blue
85,0,192,purple
198,76,0,orange
117,21,0,red
99,87,0,brown
0,252,85,green
0,13,200,blue
0,227,92,green
0,74,234,blue
255,0,23,red
73,0,223,blue
33,135,0,green
130,0,136,purple
0,83,42,green
0,93,157,blue
147,26,0,red
0,61,195,blue
144,0,9,red
135,0,125,purple
213,0,172,pink
64,87,0,green
39,65,0,green
15,18,0,black
0,228,75,green
204,50,0,orange
173,0,52,red
0,153,104,green
0,8,245,blue
0,118,183,blue
25,0,111,blue
0,41,150,blue
35,177,0,green
14,156,0,green
0,97,40,green
0,183,2,green
0,65,116,blue
0,125,68,green
75,24,0,brown
207,159,0,yellow
138,96,0,brown
88,0,94,purple
0,107,143,blue
110,167,0,green
165,13,0,red
87,157,0,green
149,116,0,brown
238,0,2,red
0,17,20,black
0,219,109,green
31,111,0,green
94,188,0,green
0,126,204,blue
227,0,210,pink
0,35,118,blue
52,38,0,brown
118,217,0,green
185,0,214,purple
244,0,156,pink
222,0,76,pink
141,218,0,green
92,78,0,brown
43,0,81,purple
9,0,205,blue
225,0,0,red
184,95,0,orange
181,32,0,red
210,0,167,pink
0,116,207,blue
28,0,216,blue
0,156,59,green
181,0,211,purple
60,0,188,blue
5,139,0,green
30,0,164,blue
15,4,0,black
208,19,0,red
0,43,89,blue
0,26,154,blue
175,0,117,pink
165,17,0,red
248,7,0,red
53,146,0,green
130,5,0,red
43,0,134,blue
51,112,0,green
112,88,0,brown
242,0,51,red
246,20,0,red
0,192,84,green
0,200,130,green
91,0,113,purple
202,159,0,yellow
34,242,0,green
0,36,147,blue
0,177,23,green
0,155,64,green
0,15,94,blue
78,0,247,blue
207,0,62,red
249,185,0,yellow
30,0,69,purple
11,0,136,blue
31,18,0,brown
0,118,33,green
198,164,0,yellow
224,92,0,orange
250,0,122,pink
199,0,46,red
20,4,0,black
228,0,75,pink
0,70,174,blue
0,4,252,blue
53,0,152,blue
89,154,0,green
124,133,0,green
50,0,223,blue
0,137,95,green
59,0,148,purple
179,0,196,purple
243,0,201,pink
149,119,0,brown
0,242,114,green
199,0,16,red
51,0,103,purple
122,0,66,purple
0,227,51,green
158,0,98,purple
161,165,0,green
0,200,29,green
29,0,6,brown
0,211,66,green
179,56,0,orange
4,137,0,green
75,35,0,brown
113,0,160,purple
37,107,0,green
9,0,132,blue
181,246,0,yellow
36,11,0,brown
173,0,145,purple
164,0,150,purple
0,89,29,green
43,0,217,blue
233,0,120,pink
0,78,140,blue
194,0,176,purple
77,235,0,green
0,44,238,blue
115,88,0,brown
179,0,23,red
0,210,83,green
26,0,131,blue
122,0,189,purple
0,35,152,blue
73,0,92,purple
44,74,0,green
156,0,108,purple
0,134,209,blue
248,84,0,orange
48,0,79,purple
0,118,41,green
0,110,218,blue
148,0,128,purple
236,0,28,red
140,27,0,red
0,74,201,blue
47,236,0,green
118,0,165,purple
226,202,0,yellow
0,24,97,blue
210,0,73,pink
0,64,198,blue
255,0,78,pink
199,183,0,yellow
67,253,0,green
0,22,164,blue
216,0,154,pink
114,0,136,purple
0,93,22,green
0,31,126,blue
235,51,0,orange
181,153,0,yellow
252,206,0,yellow
131,0,207,purple
176,0,34,red
199,100,0,orange
0,173,31,green
211,136,0,orange
115,0,217,purple
0,42,138,blue
213,0,182,pink
25,121,0,green
0,200,82,green
3,77,0,green
87,0,137,purple
184,0,200,purple
0,154,32,green
0,130,245,blue
193,0,93,pink
225,130,0,orange
0,18,189,blue
175,25,0,red
190,113,0,orange
0,156,171,blue
127,0,144,purple
0,100,158,blue
175,77,0,orange
0,216,55,green
0,92,120,blue
46,0,47,purple
104,250,0,green
0,119,251,blue
200,194,0,yellow
79,147,0,green
0,160,38,green
93,0,102,purple
0,64,252,blue
61,0,227,blue
0,15,95,blue
0,230,90,green
0,65,209,blue
54,0,109,purple
48,190,0,green
89,0,239,blue
247,211,0,yellow
139,0,199,purple
255,0,43,red
79,0,185,purple
158,0,230,purple
205,140,0,orange
9,0,108,blue
0,172,91,green
81,63,0,brown
77,241,0,green
235,0,230,pink
35,185,0,green
221,0,89,pink
143,224,0,green
214,189,0,yellow
213,0,224,pink
172,0,21,red
0,142,88,green
0,199,44,green
0,24,88,blue
220,233,0,yellow
246,0,76,pink
107,0,84,purple
200,45,0,red
62,0,214,blue
0,173,193,blue
192,0,8,red
133,0,233,purple
220,0,76,pink
116,0,30,red
0,17,95,blue
57,42,0,brown
180,0,231,purple
0,226,97,green
169,90,0,brown
0,153,226,blue
2,97,0,green
65,0,117,purple
140,0,107,purple
84,0,111,purple
13,214,0,green
76,0,253,blue
234,252,0,yellow
30,80,0,green
222,62,0,orange
0,162,92,green
0,249,61,green
85,38,0,brown
0,201,97,green
37,0,212,blue
105,0,113,purple
228,0,178,pink
111,0,128,purple
25,0,125,blue
77,23,0,brown
44,205,0,green
0,155,182,blue
0,233,125,green
37,223,0,green
163,194,0,green
82,0,168,purple
96,238,0,green
0,251,127,green
0,215,5,green
223,0,88,pink
0,87,7,green
227,182,0,yellow
123,157,0,green
0,102,24,green
194,0,26,red
216,44,0,red
180,122,0,brown
0,152,89,green
0,162,38,green
251,171,0,orange
0,29,88,blue
221,231,0,yellow
93,218,0,green
0,64,210,blue
112,0,144,purple
0,6,15,black
52,5,0,brown
0,147,54,green
148,0,144,purple
0,78,164,blue
35,0,133,blue
80,223,0,green
0,193,51,green
250,0,168,pink
194,0,220,purple
0,148,243,blue
0,236,126,green
87,0,169,purple
34,229,0,green
0,235,108,green
59,147,0,green
127,69,0,brown
104,148,0,green
0,79,24,green
0,223,107,green
92,255,0,green
253,0,183,pink
0,246,97,green
239,0,141,pink
45,0,169,blue
0,135,20,green
179,239,0,yellow
149,0,20,red
0,109,17,green
236,0,77,pink
8,0,150,blue
8,0,211,blue
134,0,38,red
40,0,54,purple
123,0,230,purple
37,0,97,blue
0,184,4,green
220,144,0,orange
0,57,174,blue
3,83,0,green
0,22,134,blue
194,0,200,purple
0,31,86,blue
0,179,25,green
136,23,0,red
141,166,0,green
151,0,180,purple
132,0,47,red
122,0,183,purple
254,0,222,pink
176,0,179,purple
59,0,123,purple
0,155,188,blue
108,0,101,purple
0,91,5,green
0,140,21,green
121,0,71,purple
133,0,13,red
28,74,0,green
20,0,85,blue
30,194,0,green
77,0,208,blue
65,0,53,purple
0,78,174,blue
0,83,137,blue
199,63,0,orange
0,167,178,blue
11,118,0,green
186,0,223,purple
224,0,38,red
0,39,241,blue
233,0,239,pink
4,225,0,green
0,127,2,green
62,0,174,blue
225,153,0,orange
208,8,0,red
225,0,90,pink
188,0,213,purple
182,246,0,yellow
58,168,0,green
234,0,60,red
148,0,0,red
0,139,199,blue
0,188,74,green
47,22,0,brown
174,0,181,purple
0,194,37,green
3,0,181,blue
0,80,54,green
81,24,0,brown
29,0,151,blue
230,13,0,red
77,36,0,brown
0,146,185,blue
128,94,0,brown
0,232,20,green
88,51,0,brown
225,0,232,pink
0,141,247,blue
66,0,103,purple
0,245,26,green
209,183,0,yellow
0,62,30,green
0,14,23,black
67,0,109,purple
188,68,0,orange
0,4,119,blue
218,0,54,red
240,0,168,pink
152,0,115,purple
101,0,238,purple
57,8,0,brown
107,179,0,green
162,0,60,red
248,0,9,red
160,0,175,purple
46,245,0,green
203,61,0,orange
175,180,0,yellow
91,61,0,brown
178,72,0,orange
189,0,177,purple
184,0,126,pink
0,0,129,blue
0,160,61,green
82,124,0,green
134,0,165,purple
0,0,99,blue
0,148,30,green
52,0,183,blue
82,59,0,brown
185,128,0,orange
223,126,0,orange
0,0,117,blue
0,136,30,green
100,146,0,green
134,0,156,purple
0,132,220,blue
0,28,209,blue
48,0,42,purple
189,0,11,red
0,169,93,green
0,92,146,blue
49,0,166,blue
86,126,0,green
106,0,176,purple
76,0,107,purple
104,198,0,green
233,0,159,pink
163,94,0,brown
3,223,0,green
146,222,0,green
0,55,89,blue
8,0,213,blue
121,52,0,brown
157,0,247,purple
91,0,152,purple
0,23,152,blue
45,125,0,green
44,95,0,green
0,183,5,green
132,60,0,brown
14,118,0,green
184,68,0,orange
240,229,0,yellow
75,65,0,brown
11,143,0,green
245,0,189,pink
85,0,45,purple
231,210,0,yellow
210,72,0,orange
17,142,0,green
49,28,0,brown
16,0,13,black
123,23,0,red
118,132,0,green
0,89,137,blue
126,170,0,green
79,173,0,green
245,0,188,pink
0,37,202,blue
0,55,79,blue
155,219,0,green
78,0,240,blue
0,226,38,green
61,19,0,brown
158,115,0,brown
187,254,0,yellow
208,0,172,pink
26,209,0,green
0,134,48,green
183,11,0,red
153,163,0,green
83,0,156,purple
77,0,58,purple
160,43,0,red
0,95,239,blue
74,183,0,green
185,62,0,orange
90,162,0,green
153,0,56,red
7,0,94,blue
242,91,0,orange
151,157,0,green
32,122,0,green
36,0,132,blue
21,211,0,green
119,0,94,purple
167,0,253,purple
99,249,0,green
0,24,187,blue
0,168,212,blue
0,160,72,green
0,85,121,blue
38,34,0,brown
142,0,98,purple
62,0,44,purple
222,178,0,yellow
146,171,0,green
71,0,201,blue
0,222,34,green
96,225,0,green
20,241,0,green
25,136,0,green
0,34,87,blue
10,0,2,black
0,85,180,blue
0,10,199,blue
0,87,54,green
0,180,195,blue
206,186,0,yellow
224,124,0,orange
177,127,0,brown
50,0,134,blue
208,68,0,orange
161,0,255,purple
178,102,0,orange
194,102,0,orange
0,94,12,green
0,167,209,blue
0,221,103,green
126,46,0,brown
40,87,0,green
121,0,232,purple
0,208,131,green
233,0,54,red
0,247,69,green
69,0,71,purple
140,245,0,green
133,226,0,green
13,0,210,blue
216,117,0,orange
189,61,0,orange
0,157,55,green
221,217,0,yellow
0,38,183,blue
213,150,0,orange
251,0,38,red
0,152,1,green
45,19,0,brown
4,0,181,blue
185,0,171,purple
70,18,0,brown
0,49,83,blue
0,3,171,blue
0,230,9,green
117,15,0,red
0,76,2,green
0,56,206,blue
167,0,55,red
0,131,62,green
0,100,246,blue
139,32,0,red
0,248,52,green
223,53,0,orange
194,0,231,purple
235,0,70,pink
73,0,222,blue
186,0,91,pink
55,0,116,purple
180,0,221,purple
60,201,0,green
0,79,247,blue
83,0,252,blue
0,95,188,blue
228,216,0,yellow
27,0,195,blue
0,147,72,green
0,251,19,green
0,141,4,green
0,28,176,blue
221,0,36,red
251,0,116,pink
125,0,193,purple
42,0,171,blue
0,92,28,green
168,0,223,purple
182,0,118,pink
35,64,0,green
63,142,0,green
247,0,202,pink
140,0,170,purple
239,0,246,pink
8,0,139,blue
62,0,135,purple
0,171,175,blue
210,0,98,pink
0,249,148,green
0,117,68,green
54,8,0,brown
159,42,0,red
51,109,0,green
246,43,0,red
0,118,58,green
57,101,0,green
0,87,114,blue
0,136,35,green
40,251,0,green
82,0,53,purple
71,19,0,brown
215,92,0,orange
0,69,15,green
140,143,0,green
225,119,0,orange
60,245,0,green
76,165,0,green
120,165,0,green
176,230,0,yellow
113,166,0,green
2,0,187,blue
226,0,120,pink
174,210,0,green
157,95,0,brown
222,93,0,orange
137,0,206,purple
27,84,0,green
125,0,127,purple
116,20,0,red
163,30,0,red
41,205,0,green
0,4,146,blue
100,221,0,green
43,35,0,brown
0,240,33,green
170,208,0,green
120,0,177,purple
148,31,0,red
91,241,0,green
113,10,0,red
0,149,241,blue
225,0,241,pink
0,162,42,green
248,0,19,red
0,18,225,blue
250,0,60,red
42,13,0,brown
129,0,159,purple
29,0,93,blue
240,108,0,orange
138,0,38,red
87,173,0,green
169,0,20,red
33,0,151,blue
77,0,254,blue
147,0,218,purple
0,217,82,green
119,31,0,brown
0,75,198,blue
0,119,199,blue
119,100,0,brown
118,0,234,purple
62,0,120,purple
140,64,0,brown
0,105,31,green
142,121,0,brown
106,24,0,brown
129,0,151,purple
237,19,0,red
160,78,0,brown
106,230,0,green
203,0,131,pink
18,233,0,green
0,93,133,blue
0,0,208,blue
181,0,209,purple
0,202,110,green
59,0,53,purple
254,0,242,pink
104,89,0,brown
250,0,235,pink
95,0,124,purple
121,24,0,red
245,0,126,pink
195,0,166,pink
0,107,146,blue
82,77,0,brown
0,105,159,blue
161,0,140,purple
0,87,3,green
50,186,0,green
182,0,137,pink
0,32,249,blue
76,233,0,green
97,159,0,green
80,46,0,brown
84,164,0,green
237,0,153,pink
197,0,139,pink
0,202,55,green
17,234,0,green
63,0,91,purple
177,61,0,orange
105,207,0,green
0,144,159,blue
179,50,0,orange
152,19,0,red
245,0,186,pink
219,220,0,yellow
146,129,0,brown
0,117,43,green
0,136,190,blue
168,0,235,purple
97,58,0,brown
88,156,0,green
223,241,0,yellow
71,0,139,purple
105,0,94,purple
0,20,244,blue
222,0,51,red
0,40,209,blue
249,8,0,red
59,0,74,purple
233,158,0,orange
84,34,0,brown
